Plot1m2	Abundance	Richness	Fresh	Dry	Residues	Litter	Living_cover	Total_cover	Bulk_density	Plot1m2_Slope	Humidity	C	N	LU	Field
M1-M-1	58	4	42.67	141.67	62.97	204.64	NA	36.371	1.0263	24.4617609756	6.9846153846	2.21	0.187	M	M1
M1-M-2	199	5	106.15	144.84	113.96	258.8	NA	48.311	1.3008	17.5186159091	6.1230769231	1.98	0.174	M	M1
M1-M-3	82	5	71.99	152.92	198.95	351.87	NA	77.348	1.0377	17.8077795455	5.4846153846	1.9	0.164	M	M1
M1-M-4	295	7	0.61	154	68.85	222.85	NA	58.712	1.0502	21.6618333333	5.2230769231	1.57	0.138	M	M1
M1-M-5	130	7	44.24	103.36	29.59	132.95	NA	41.25	0.9746	10.0396145455	3.9923076923	1.6	0.134	M	M1
M2-M-1	1044	6	76.51	71.51	141.29	212.8	31.88	66.884	1.3828	32.6914571429	7.3769230769	1.23	0.112	M	M2
M2-M-2	636	7	63.35	56.78	231.38	288.16	27.21	74.683	1.2827	31.9032466667	7.6076923077	1.59	0.13	M	M2
M2-M-3	597	6	92.24	87.16	256.33	343.49	33.485	67.873	1.3467	31.2042285714	7.0846153846	1.08	0.101	M	M2
M2-M-4	741	5	35.77	261.39	316.79	578.18	23.825	64.071	1.3231	30.9667071429	7.8461538462	1.66	0.14	M	M2
M2-M-5	910	8	59.64	133.02	191.44	324.46	22.042	63.949	1.2566	34.9583785714	5.2	1.3	0.123	M	M2
M3-M-1	92	3	68.74	228.74	143.16	371.9	17.356	56.06	1.1973	28.0654222222	4.9153846154	1.52	0.154	M	M3
M3-M-2	137	2	148.69	117.67	135.46	253.13	17.816	58.778	1.1694	23.9877	2.9076923077	1.95	0.187	M	M3
M3-M-3	180	4	41.48	205.31	128.58	333.89	7.916	44.256	1.2996	23.2478277778	4.5769230769	1.74	0.158	M	M3
M3-M-4	148	3	50.11	105.56	151.79	257.35	14.747	44.023	1.1021	23.3672928571	3.0538461538	2.92	0.212	M	M3
M3-M-5	123	3	74.75	168.73	125.97	294.7	11.572	44.939	1.2737	24.94741875	4.6846153846	2.07	0.187	M	M3
M4-M-1	82	3	2.15	0	879.3	879.3	2.011	69.057	1.2919	16.8096666667	7.8384615385	2.13	0.205	M	M4
M4-M-2	41	2	18.78	29.12	212.95	242.07	9.75	56.233	1.1402	33.2628	9.3	2.95	0.263	M	M4
M4-M-3	91	4	6.07	0	147.93	147.93	4.052	51.356	1.0586	32.5533923077	6.7538461538	2.57	0.243	M	M4
M4-M-4	52	4	0	0.65	154.91	155.56	2.522	39.207	1.2972	31.6571066667	8.1769230769	2.05	0.209	M	M4
M4-M-5	27	3	0	0	246.34	246.34	0.448	54.181	1.1428	35.3128923077	8.3538461538	2.4	0.23	M	M4
M5-M-1	26	4	32.73	125.91	120.81	246.72	10.618	52.667	1.2761	23.9787466667	4.7461538462	2.2	0.192	M	M5
M5-M-2	32	6	28.24	210.27	181.11	391.38	21.729	60.85	1.1865	18.808875	5.8230769231	2.08	0.171	M	M5
M5-M-3	32	6	84.54	204.35	38.69	243.04	14.605	57.425	1.107	23.6523714286	5.4769230769	2.61	0.229	M	M5
M5-M-4	33	4	16.4	140.95	0	140.95	3.708	35.792	1.2971	11.45209625	3.4461538462	2.29	0.193	M	M5
M5-M-5	119	4	73.36	171.95	77.22	249.17	21.878	67.719	1.2865	21.75222	6.1230769231	1.89	0.165	M	M5
OR1-OR-1	220	10	14.02	0	440.06	440.06	13.128	97.375	1.2983	17.53958	12.8846153846	1.69	0.124	OR	OR1
OR1-OR-2	144	10	18.34	0	368.63	368.63	15.057	99.091	1.3383	15.2869266667	13.1692307692	1.92	0.133	OR	OR1
OR1-OR-3	262	10	23.69	6.39	313.75	320.14	31.511	99.197	1.289	16.99501875	12.7846153846	2.47	0.164	OR	OR1
OR1-OR-4	67	5	16.29	17.41	845.94	863.35	25.554	99.17	1.1579	13.6250533333	15.0307692308	3.08	0.233	OR	OR1
OR1-OR-5	81	10	45.09	19.36	720.73	740.09	40.624	96.041	1.3038	12.70438	15.5461538462	2.28	0.176	OR	OR1
OR2-OR-1	13	4	0.17	6.34	71.42	77.76	4.632	32.358	1.3106	27.9984071429	13.7923076923	1.66	0.145	OR	OR2
OR2-OR-2	33	2	0	5.48	289.53	295.01	2.421	75.261	0.9961	29.9440642857	16.7846153846	3.04	0.178	OR	OR2
OR2-OR-3	65	3	0	2.16	338.65	340.81	8.434	89.216	1.0761	24.2780285714	10.8846153846	2.38	0.191	OR	OR2
OR2-OR-4	26	4	0	0	24.81	24.81	2.235	33.604	1.0125	27.1317333333	11.3230769231	3.84	0.278	OR	OR2
OR2-OR-5	10	3	0.11	0	202.4	202.4	0.958	45.235	1.0782	24.8978285714	15.2230769231	2.47	0.196	OR	OR2
OR3-OR-1	84	5	12.44	22.51	461.27	483.78	23.937	98.885	1.3304	30.9488615385	19.2923076923	1.31	0.132	OR	OR3
OR3-OR-2	29	4	0	14.05	611.65	625.7	1.813	95.708	1.3177	27.0667583333	23.6923076923	1.35	0.123	OR	OR3
OR3-OR-3	257	7	16.08	80.19	386.8	466.99	25.47	97.712	1.3196	29.8867153846	21.7153846154	1.41	0.171	OR	OR3
OR3-OR-4	352	7	38.29	85.72	462.27	547.99	31.196	99.271	1.1578	29.7052428571	17.9692307692	1.09	0.117	OR	OR3
OR3-OR-5	86	8	0	38.73	660.75	699.48	16.477	98.374	1.2364	8.4754776471	15.2	1.32	0.141	OR	OR3
OR4-OR-1	238	5	18.83	105.44	680.81	786.25	23.512	99.724	1.2248	21.4556125	14.0153846154	1.21	0.125	OR	OR4
OR4-OR-2	256	6	52.05	23.71	374.14	397.85	29.139	99.022	1.2415	21.5616266667	8.3538461538	1.99	0.184	OR	OR4
OR4-OR-3	104	7	3.53	21.51	469.19	490.7	8.469	99.606	1.1936	31.0763916667	7.2076923077	1	0.107	OR	OR4
OR4-OR-4	333	7	15.28	0	364.48	364.48	14.422	99.724	1.249	36.5830615385	6.9	0.76	0.089	OR	OR4
OR4-OR-5	93	7	0	0	563.91	563.91	8.876	98.03	1.2162	33.8433923077	7.9692307692	1.86	0.165	OR	OR4
OR5-OR-1	13	2	0	0	576.14	576.14	1.182	94.196	1.2913	23.7482153846	19.1076923077	1.44	0.148	OR	OR5
OR5-OR-2	15	4	0	2.09	575.68	577.77	10.377	94.324	1.1377	25.4377133333	19.0230769231	1.91	0.188	OR	OR5
OR5-OR-3	9	4	2.96	0	677.27	677.27	4.211	98.191	1.2486	28.7412	18.1692307692	2.06	0.165	OR	OR5
OR5-OR-4	4	2	11.01	0	858.12	858.12	7.644	99.6	1.3405	26.3529461538	19.5153846154	2.35	0.224	OR	OR5
OR5-OR-5	4	2	29.21	0	701.56	701.56	20.346	99.792	1.1526	28.4388538462	16.8307692308	2.76	0.252	OR	OR5
ULR1-ULR-1	281	8	123.41	65.72	336.22	401.94	47.717	69.423	1.1557	16.4542928571	10.5230769231	1.28	0.121	ULR	ULR1
ULR1-ULR-2	339	8	138.59	40.11	145.67	185.78	50.667	72.653	1.1716	22.2929538462	12.5923076923	1.7	0.155	ULR	ULR1
ULR1-ULR-3	409	9	140.72	59.86	84.95	144.81	50.965	71.788	1.1315	22.2977545455	10.7692307692	1.45	0.141	ULR	ULR1
ULR1-ULR-4	345	7	109.71	6.19	89.54	95.73	50.004	74.408	1.1834	26.5591428571	9.2384615385	1.64	0.153	ULR	ULR1
ULR1-ULR-5	309	9	112.81	19.7	153.03	172.73	34.668	63.725	1.2338	24.1821714286	11.2307692308	1.48	0.137	ULR	ULR1
ULR2-ULR-1	1178	9	258.37	133.39	16.78	150.17	70.9	94.44	1.1966	22.49041875	11.6538461538	2.88	0.251	ULR	ULR2
ULR2-ULR-2	430	8	170.13	87.68	121	208.68	27.436	69.929	1.0687	21.9013	8.2	2.54	0.209	ULR	ULR2
ULR2-ULR-3	314	9	97.7	54.7	95.02	149.72	17.152	65.896	1.0693	24.8238866667	8.2	2.43	0.207	ULR	ULR2
ULR2-ULR-4	212	8	194.13	87.49	76.38	163.87	34.702	69.407	1.0388	26.7600538462	8.5692307692	3.18	0.237	ULR	ULR2
ULR2-ULR-5	990	12	167.84	87.34	67.96	155.3	47.725	82.484	1.1487	24.8125769231	10.5	1.9	0.171	ULR	ULR2
ULR3-ULR-1	503	9	225.47	127.11	55.47	182.58	58.482	92.788	1.1216	53.5176416667	14.0769230769	2.71	0.262	ULR	ULR3
ULR3-ULR-2	666	12	133.07	49.11	67.06	116.17	42.301	84.704	0.9856	32.4047	11.7307692308	2.31	0.236	ULR	ULR3
ULR3-ULR-3	576	8	178.83	71.08	116.74	187.82	45.929	77.369	0.9986	21.7667	10.0615384615	2.95	0.277	ULR	ULR3
ULR3-ULR-4	461	7	169.69	78.36	49.48	127.84	55.589	76.139	1.1344	31.68732	9.3692307692	1.47	0.168	ULR	ULR3
ULR3-ULR-5	363	13	81.16	42.05	60.65	102.7	34.046	72.617	0.978	23.896525	9.3769230769	2.16	0.223	ULR	ULR3
ULR4-ULR-1	37	4	78.44	33.24	133.78	167.02	20.032	61.567	1.0768	27.2272133333	6.7615384615	2.94	0.256	ULR	ULR4
ULR4-ULR-2	91	7	77.07	36.39	217.82	254.21	16.894	60.187	1.1205	28.1161214286	7.6230769231	2.69	0.236	ULR	ULR4
ULR4-ULR-3	88	7	49.32	1.6	223.08	224.68	10.606	59.068	1.1221	21.9320266667	7.7	2.23	0.201	ULR	ULR4
ULR4-ULR-4	706	7	63.6	42.56	255.98	298.54	27.465	76.203	1.0783	21.769025	8.5153846154	2.88	0.24	ULR	ULR4
ULR4-ULR-5	95	4	56.25	0	199.77	199.77	16.101	51.108	1.1568	24.0693214286	7.0307692308	2.95	0.24	ULR	ULR4
ULR5-ULR-1	20	2	67.94	25.09	92.9	117.99	4.648	29.38	1.2159	16.7265230769	4.4153846154	2.57	0.206	ULR	ULR5
ULR5-ULR-2	12	4	6.34	38.8	78.06	116.86	6.853	27.42	1.2481	19.0589428571	4.0461538462	2.18	0.181	ULR	ULR5
ULR5-ULR-3	10	5	12.46	30.56	55.85	86.41	2.628	37.488	1.2633	16.44166	5.2153846154	2.11	0.166	ULR	ULR5
ULR5-ULR-4	28	4	57.52	56.76	120.67	177.43	8.422	43.704	1.2392	13.3020785714	6.3846153846	2.45	0.203	ULR	ULR5
ULR5-ULR-5	14	5	24.49	13.08	116.05	129.13	2.054	32.527	1.2306	16.08906875	4.5153846154	2.56	0.188	ULR	ULR5
YR1-YRM-1	212	3	0	67.93	127.99	195.92	NA	54.863	1.3524	29.2096461538	10.6230769231	1.77	0.159	YRM	YR1
YR1-YRM-2	320	5	0	210.02	194.8	404.82	5.499	34.313	1.293	31.7462428571	11.4923076923	1.68	0.155	YRM	YR1
YR1-YRM-3	108	4	0.3	185.78	116.81	302.59	4.75	47.844	1.2108	30.0279833333	11.7461538462	1.91	0.15	YRM	YR1
YR1-YRM-4	256	5	0.76	257.84	174.55	432.39	4.016	40.943	1.2266	33.97736	10.4230769231	1.79	0.172	YRM	YR1
YR1-YRM-5	346	6	2.43	259.98	235.69	495.67	4.524	52.232	1.125	32.4005357143	12.5615384615	2.48	0.205	YRM	YR1
YR2-YRM-1	11	4	0.58	121.98	70.23	192.21	0.923	34.664	1.3405	43.5692513333	5.3230769231	1.24	0.097	YRM	YR2
YR2-YRM-2	27	7	7.31	456.16	96.34	552.5	1.377	50.186	1.2097	4.43881875	6.3769230769	1.35	0.121	YRM	YR2
YR2-YRM-3	80	5	13.47	186.98	162.33	349.31	5.054	70.359	1.2179	11.4415571429	7.0692307692	1.32	0.11	YRM	YR2
YR2-YRM-4	39	5	2.15	177.6	101.79	279.39	0.713	35.722	1.3401	13.7440769231	5.6	1.1	0.11	YRM	YR2
YR2-YRM-5	53	11	13.5	484.7	119.14	603.84	4.185	59.507	1.3233	15.1358866667	8.8692307692	1.53	0.135	YRM	YR2
YR3-YRM-1	72	5	21.42	0.08	250.94	251.02	4.733	53.761	0.908	3.5004125	7.2384615385	4.11	0.278	YRM	YR3
YR3-YRM-2	101	5	29.94	90.28	116.23	206.51	9.693	53.015	1.2012	17.28388	7.3846153846	1.72	0.16	YRM	YR3
YR3-YRM-3	109	2	37.53	58.2	124.63	182.83	6.07	44.804	1.1996	4.7801542857	6.0769230769	2.62	0.21	YRM	YR3
YR3-YRM-4	97	4	6.57	23.65	145.37	169.02	1.979	37.888	1.2832	17.44535	7.6846153846	1.93	0.181	YRM	YR3
YR3-YRM-5	154	4	0	64.8	190.99	255.79	2.901	46.337	1.1353	18.5551857143	6.7384615385	3.19	0.254	YRM	YR3
YR4-YRM-1	190	6	49.83	503.379	151.04	654.419	27.307	77.719	1.092	19.5113714286	7.7076923077	3.06	0.234	YRM	YR4
YR4-YRM-2	276	5	22.53	93.499	119.35	212.849	28.245	65.727	1.1215	20.28255	5.4615384615	2.73	0.239	YRM	YR4
YR4-YRM-3	205	3	31.95	314.669	126.73	441.399	25.686	59.813	1.0776	23.7988916667	6.2076923077	3.28	0.278	YRM	YR4
YR4-YRM-4	208	4	2.17	181.699	141.46	323.159	10.334	75.759	1.0426	25.2821066667	6.7230769231	2.98	0.245	YRM	YR4
YR4-YRM-5	156	6	26.9	190.509	147.77	338.279	30.194	90.599	1.1405	29.1809071429	6.3	2.45	0.197	YRM	YR4
YR5-YRM-1	102	9	33.18	451.07	203.28	654.35	6.023	39.006	1.1229	34.8504538462	7.0076923077	2.96	0.223	YRM	YR5
YR5-YRM-2	255	8	8.67	264.44	102.24	366.68	4.541	53.268	1.1625	32.9484538462	6.9307692308	3.65	0.214	YRM	YR5
YR5-YRM-3	289	13	36.34	155.12	125.47	280.59	14.642	61.346	1.06	33.0860833333	5.5538461538	3.09	0.251	YRM	YR5
YR5-YRM-4	105	11	10.96	119.4	112.7	232.1	10.424	53.311	1.1684	28.35471875	7.2846153846	2.06	0.167	YRM	YR5
YR5-YRM-5	178	7	NA	NA	NA	NA	8.878	61.867	1.1693	170	7.0076923077	2.08	0.174	YRM	YR5
